City,0,1,2,3,4,5,6,7,8,9,10
Mesa,0.42500000000000027,1.25,0.3111111111111108,1.6857142857142853,1.3749999999999998,-3.4555555555555535,0.7333333333333333,0.9625000000000004,-0.011111111111111271,0.6999999999999997,0.2124999999999999
Grand Prairie,0.98,0.2400000000000002,0.21999999999999886,1.64,0.5600000000000008,-1.2999999999999994,2.66,2.66,1.56,1.5800000000000012,3.3200000000000003
Irvine,3.233333333333333,2.6555555555555563,-2.6111111111111107,-2.9333333333333336,-3.322222222222224,-7.2555555555555555,-3.733333333333333,1.6374999999999988,4.5555555555555545,4.48888888888889,4.322222222222221
New Haven,2.2777777777777777,2.566666666666666,1.6111111111111114,1.9444444444444444,1.4111111111111114,0.1555555555555554,1.7888888888888888,3.8,2.6555555555555563,2.9555555555555566,3.9444444444444446
Fort Lauderdale,2.7666666666666666,1.9888888888888896,2.9555555555555566,1.9666666666666668,1.9777777777777783,0.6888888888888888,2.211111111111111,2.0222222222222217,2.5777777777777784,2.771428571428571,2.5374999999999988
Long Beach,5.875,3.4625000000000004,2.2375000000000003,1.9749999999999992,-0.17777777777777734,-2.688888888888889,-1.0222222222222228,1.311111111111111,2.6111111111111107,4.722222222222221,7.1111111111111125
Hartford,2.344444444444445,3.8555555555555565,4.01111111111111,2.377777777777778,3.9999999999999987,0.1888888888888892,2.1111111111111107,2.055555555555556,2.3777777777777778,3.4444444444444438,5.544444444444445
Providence,-0.26250000000000034,-0.17777777777777778,-0.6555555555555554,1.4666666666666668,0.7444444444444442,-1.7888888888888883,2.122222222222222,-0.07142857142857142,1.5444444444444445,0.9111111111111108,0.5444444444444447
Birmingham,0.9999999999999996,-0.07500000000000008,0.5111111111111108,0.4333333333333333,0.6888888888888891,-1.9222222222222245,-1.2999999999999998,-0.3888888888888886,0.6888888888888893,0.4333333333333335,0.5666666666666665
St. Petersburg,0.6222222222222223,1.2111111111111108,2.533333333333333,0.8999999999999999,1.4374999999999996,0.4777777777777778,0.7888888888888886,1.9333333333333331,1.1777777777777785,1.1888888888888889,0.5499999999999998
Virginia Beach,-1.6000000000000003,-0.6777777777777781,-1.3000000000000007,-0.3777777777777786,0.3222222222222225,-1.6666666666666667,-3.333333333333334,-1.4222222222222216,-1.9222222222222216,-2.766666666666666,-1.4222222222222225
Oakland,2.9999999999999987,2.9666666666666663,2.1111111111111107,0.6999999999999997,-3.5000000000000013,-6.044444444444445,-3.888888888888889,1.6222222222222216,2.355555555555555,2.533333333333333,3.733333333333333
West Palm Beach,1.0999999999999996,0.9714285714285724,2.45,1.6714285714285713,2.114285714285714,0.07500000000000108,1.024999999999999,0.8222222222222221,1.4111111111111103,1.7375,1.5749999999999995
Louisville,3.0222222222222226,1.3249999999999995,2.6625,2.8000000000000003,5.2444444444444445,0.9777777777777779,0.7666666666666662,0.8333333333333334,0.7333333333333332,2.7,3.9333333333333336
Charlotte,0.4333333333333328,-0.4250000000000006,1.4375,0.4142857142857149,-0.4142857142857151,-3.5222222222222226,1.6142857142857143,-1.5250000000000004,0.43333333333333385,0.7374999999999995,-0.2666666666666665
Columbus,0.6111111111111112,0.6111111111111109,2.1499999999999995,1.9625000000000008,0.5499999999999992,0.033333333333332625,0.7444444444444449,0.0,-0.4888888888888892,0.7444444444444448,0.012499999999999956
San Bernardino,10.371428571428572,10.000000000000002,9.575,9.366666666666667,10.15,5.342857142857142,8.8125,9.8625,11.6,11.737499999999995,10.942857142857141
St. Paul,2.6375,1.9250000000000005,2.175,1.6750000000000005,0.225,-0.2749999999999995,3.05,3.6625,3.125,2.6,3.95
Tucson,5.300000000000002,6.288888888888887,8.488888888888887,7.122222222222222,2.9999999999999987,2.0333333333333337,4.677777777777779,6.666666666666668,7.944444444444442,7.166666666666668,6.055555555555558
Fresno,-0.7857142857142856,-0.1888888888888886,-2.385714285714286,-4.15,-3.7571428571428576,-5.75,-2.8000000000000003,-0.5777777777777783,-1.3166666666666662,1.4333333333333331,0.377777777777778
Albuquerque,2.2142857142857126,3.9555555555555553,1.3750000000000002,1.6,0.9875000000000004,-1.188888888888889,-1.042857142857143,-0.6666666666666664,1.9111111111111108,3.171428571428572,1.971428571428572
Kansas City,0.07499999999999997,0.4111111111111108,-0.3555555555555554,0.2499999999999996,-2.062499999999999,-0.9222222222222212,0.2111111111111109,-0.1714285714285721,-0.5500000000000005,-0.2124999999999998,0.8333333333333334
Tulsa,-0.444444444444445,-0.36666666666666703,-0.6222222222222217,-0.7888888888888881,-0.9999999999999996,-0.18888888888888766,0.9625000000000004,1.025,0.7749999999999999,0.8333333333333334,-0.6000000000000011
