City,0,1,2,3,4,5,6,7,8,9,10
Mesa,1.0222222222222233,1.177777777777778,0.244444444444444,0.2875000000000001,-0.16666666666666588,-0.3333333333333333,-0.06666666666666682,0.3222222222222225,0.8000000000000007,0.7749999999999999,0.3142857142857152
Grand Prairie,0.15714285714285733,-0.21428571428571366,0.02857142857142847,-0.999999999999999,-0.08571428571428642,-1.3000000000000012,1.1714285714285708,0.7857142857142841,0.214285714285714,-0.3714285714285706,0.1857142857142858
Irvine,1.7888888888888892,0.3999999999999999,-3.775,-4.737499999999999,-6.442857142857143,-10.45,-7.933333333333333,-2.555555555555556,1.4555555555555553,1.9222222222222207,1.988888888888888
New Haven,5.1000000000000005,4.933333333333334,4.199999999999998,4.011111111111111,3.988888888888889,2.5222222222222226,4.5,4.022222222222221,4.588888888888888,6.411111111111111,5.177777777777777
Fort Lauderdale,1.1875,1.2375000000000005,1.1749999999999998,0.8125,1.0875000000000004,-0.31250000000000044,1.6499999999999997,1.875,2.7,2.171428571428572,2.042857142857144
Long Beach,1.888888888888888,0.9222222222222228,1.1555555555555552,0.4888888888888887,-0.5111111111111111,-2.7999999999999985,-0.577777777777778,1.6444444444444437,3.4000000000000004,3.322222222222221,2.7666666666666666
Hartford,3.466666666666667,4.375,3.466666666666667,5.422222222222223,4.011111111111112,1.2444444444444451,1.8333333333333337,2.9444444444444446,3.8222222222222215,2.644444444444445,2.7666666666666666
Providence,-0.16666666666666707,0.5555555555555555,1.5333333333333337,-0.3444444444444448,-0.7222222222222219,-0.4222222222222223,1.8125,1.9777777777777776,1.3333333333333333,1.7333333333333332,0.622222222222222
Birmingham,0.1222222222222216,0.21249999999999947,0.11111111111111152,0.8124999999999996,0.3142857142857137,-0.777777777777777,-1.2999999999999987,-0.12222222222222234,-0.733333333333333,-0.2875000000000001,1.5444444444444454
St. Petersburg,0.3666666666666668,0.9444444444444448,0.6111111111111115,-0.06666666666666643,-0.2333333333333323,-1.4222222222222216,-0.3333333333333333,0.6222222222222228,0.3444444444444446,0.6888888888888888,1.3000000000000012
Virginia Beach,-2.3,-1.4555555555555566,-0.7499999999999991,-0.5999999999999999,-0.922222222222222,-0.8555555555555574,-0.9666666666666656,-2.355555555555556,-1.7222222222222219,-1.6111111111111107,-1.3666666666666676
Oakland,-1.6222222222222218,-0.9111111111111112,-3.933333333333333,-6.2624999999999975,-7.5777777777777775,-11.055555555555555,-6.6750000000000025,-5.966666666666668,-2.8374999999999995,1.4625000000000006,1.2750000000000004
West Palm Beach,1.2499999999999991,0.6999999999999993,1.257142857142857,1.225,1.7222222222222223,0.32222222222222363,1.3111111111111111,2.0777777777777766,2.1555555555555554,1.8666666666666665,1.8625
Louisville,2.4111111111111097,2.833333333333332,2.333333333333334,2.2666666666666675,3.2222222222222223,0.8999999999999998,-0.2874999999999988,0.9875000000000004,0.4875000000000002,3.275000000000001,2.2333333333333325
Charlotte,-0.4444444444444453,-0.32222222222222185,0.19999999999999973,-1.3500000000000003,-1.0500000000000007,-1.5222222222222208,0.44444444444444464,-0.17777777777777734,-0.3999999999999997,0.7875000000000001,0.44444444444444425
Columbus,2.0,1.4625000000000006,2.375,2.3625,2.900000000000001,1.3000000000000005,1.3666666666666665,1.875,0.8875,1.8875000000000004,1.3375000000000004
San Bernardino,8.257142857142856,9.375,10.228571428571428,10.566666666666666,9.8,5.9222222222222225,7.877777777777776,9.388888888888893,8.766666666666667,9.422222222222224,9.585714285714284
St. Paul,1.7888888888888894,2.4888888888888894,1.4111111111111114,1.2000000000000002,0.2666666666666671,-0.5,3.1000000000000005,3.2111111111111117,3.5222222222222217,2.4,3.0222222222222226
Tucson,4.666666666666665,6.544444444444442,5.499999999999999,4.755555555555556,3.0,1.188888888888888,3.4000000000000004,6.377777777777776,6.855555555555558,7.0777777777777775,7.222222222222222
Fresno,-0.9666666666666668,-3.185714285714286,-4.122222222222224,-4.575000000000001,-4.566666666666666,-6.285714285714287,-4.7888888888888905,-2.5875,-0.6375,0.6499999999999999,-1.5555555555555562
Albuquerque,0.4111111111111112,2.2222222222222228,1.8142857142857147,0.6666666666666661,0.6250000000000002,-0.6777777777777777,-1.1444444444444444,0.6222222222222222,-0.21111111111111114,0.7333333333333331,0.8750000000000002
Kansas City,1.357142857142857,-0.6714285714285714,0.4857142857142858,-1.1833333333333336,-2.316666666666666,-0.7142857142857147,-0.22857142857142904,-0.17142857142857132,-0.2428571428571432,-0.4142857142857143,-0.5333333333333342
Tulsa,-0.6888888888888891,-1.311111111111111,-1.3666666666666667,-1.2999999999999998,-1.3555555555555558,-2.722222222222221,-1.344444444444445,-0.4125000000000005,-0.12500000000000067,-0.9333333333333328,-1.2777777777777777
Ft. Worth,0.4111111111111108,1.0249999999999997,0.9000000000000001,0.6777777777777779,1.3111111111111116,-2.366666666666668,-0.8888888888888895,-0.2875000000000001,0.13749999999999996,1.2333333333333336,0.4555555555555561
Austin,-0.5333333333333329,0.311111111111111,0.8666666666666671,-0.4888888888888887,-1.7999999999999998,-3.144444444444445,2.1,1.2444444444444451,1.1888888888888884,0.655555555555556,-1.9777777777777776
El Paso,5.216666666666666,2.7000000000000006,4.319999999999999,3.042857142857143,3.0200000000000005,-1.2888888888888883,3.35,3.1750000000000003,2.6333333333333337,-2.0375000000000005,3.6166666666666663
Orlando,0.755555555555556,0.3444444444444442,-0.22222222222222265,-1.488888888888888,-1.6000000000000003,-3.0,1.042857142857143,-1.3666666666666671,0.9714285714285708,-1.7666666666666662,0.8714285714285717
Jacksonville,0.6999999999999997,1.3666666666666671,0.9888888888888884,2.0444444444444456,2.322222222222222,-0.20000000000000007,1.7333333333333334,1.7666666666666668,1.5444444444444445,1.5000000000000004,1.5124999999999995
Indianapolis,-0.07777777777777789,-0.28888888888888864,0.05555555555555496,0.5777777777777773,-0.3111111111111116,-0.04444444444444468,0.11111111111111133,-0.4777777777777778,0.12222222222222234,0.011111111111110874,0.2555555555555553
Richmond,-0.7333333333333327,-0.3111111111111112,1.9222222222222227,1.0777777777777773,-0.4888888888888896,-0.12222222222222195,1.7999999999999996,2.244444444444445,1.4555555555555555,2.2111111111111104,1.1111111111111112
Baltimore,5.433333333333333,5.9222222222222225,5.377777777777778,5.433333333333333,4.499999999999998,3.31111111111111,3.9444444444444446,5.2444444444444445,4.677777777777777,4.177777777777779,4.577777777777778
San Jose,-5.9875,-5.744444444444442,-6.7888888888888905,-8.222222222222221,-8.399999999999999,-8.577777777777778,-7.4375,-5.7125,-0.35555555555555546,-3.883333333333333,-1.2833333333333332
Sacramento,0.4875,-0.1875,0.4750000000000001,-0.3500000000000001,-0.8999999999999997,-1.4625,0.3249999999999997,1.6624999999999996,2.0875000000000004,2.2250000000000005,1.8625
Las Vegas,5.933333333333334,6.8444444444444414,4.762499999999998,4.933333333333334,5.6555555555555586,1.9666666666666663,3.4777777777777787,2.3444444444444437,4.333333333333333,5.311111111111111,5.188888888888886
Portland,1.7111111111111112,1.4888888888888887,1.2111111111111112,1.3666666666666665,0.8555555555555558,-1.9222222222222227,0.3888888888888882,1.6111111111111116,1.0222222222222224,1.4888888888888892,1.9777777777777776
Salt Lake City,6.533333333333332,5.466666666666666,6.666666666666668,7.022222222222222,5.466666666666666,5.055555555555554,6.0777777777777775,5.6,6.3888888888888875,4.011111111111111,4.755555555555556
Omaha,2.228571428571429,4.457142857142858,4.985714285714286,4.6714285714285735,3.4999999999999987,-0.5571428571428572,1.7571428571428571,-1.4999999999999998,0.30000000000000004,0.5666666666666668,2.6
Oklahoma City,1.5111111111111113,1.2444444444444445,0.9111111111111106,0.655555555555556,0.4777777777777783,-0.5111111111111105,0.9666666666666662,0.9111111111111102,0.4444444444444444,1.3555555555555556,1.2888888888888888
San Antonio,-1.3875000000000002,-0.6875,-0.9624999999999996,-0.5625000000000002,-1.925,-2.2375000000000007,1.0375,1.3749999999999996,-0.5625,-0.5750000000000006,-1.7428571428571435
Raleigh,1.5142857142857151,0.5625000000000002,0.1833333333333324,1.3777777777777789,1.2750000000000004,-1.2333333333333334,-0.2111111111111104,1.9857142857142849,2.685714285714286,1.8875,0.1874999999999999
Cleveland,1.9111111111111119,1.5999999999999996,3.166666666666666,3.674999999999999,6.488888888888887,0.9222222222222236,0.8333333333333334,0.3888888888888887,1.4499999999999995,1.6444444444444448,1.5000000000000004
Cincinnati,-2.3875,-1.9500000000000004,-1.1111111111111112,-2.1625,-2.4,-2.5444444444444434,-0.6374999999999997,-1.7571428571428571,6.661338147750938e-16,0.4142857142857141,-0.01428571428571411
Nashville,-0.12857142857142834,-0.3375000000000001,0.3500000000000003,0.8374999999999999,-0.6833333333333336,-1.5000000000000002,-1.2750000000000008,-1.233333333333335,-0.14285714285714285,-3.0250000000000004,-0.8571428571428574
Memphis,-0.8249999999999991,-1.3374999999999997,0.3875000000000002,-1.2714285714285711,-1.325000000000001,-1.844444444444444,-0.4125000000000001,-0.6666666666666661,1.6625,0.5333333333333342,0.022222222222222143
Norfolk,4.433333333333334,4.5777777777777775,5.68888888888889,4.255555555555556,4.8375,0.7666666666666653,4.255555555555556,3.0777777777777784,4.65,4.2333333333333325,6.100000000000001
Milwaukee,-0.21111111111111155,-0.16666666666666707,-1.655555555555556,-2.9555555555555566,-1.7,-3.0222222222222217,-1.3999999999999997,0.4444444444444448,-0.1874999999999999,-0.3666666666666668,0.011111111111111469
Buffalo,0.6222222222222219,2.966666666666667,-0.04444444444444468,2.0,3.4111111111111114,0.3666666666666675,-0.2333333333333331,-0.17777777777777753,0.6555555555555551,0.3888888888888885,0.5444444444444444
Pittsburgh,2.6166666666666667,-0.4857142857142848,1.0666666666666684,2.542857142857144,0.16666666666666727,0.2666666666666685,2.15,0.7000000000000011,0.9799999999999998,-0.833333333333333,2.714285714285714
Minneapolis,1.3555555555555563,2.3222222222222206,2.3888888888888893,0.8666666666666667,-0.3777777777777776,-1.4777777777777776,2.8555555555555565,4.433333333333334,4.877777777777777,3.2111111111111112,1.9222222222222225
Honolulu,-0.13750000000000018,0.2124999999999999,-0.5000000000000004,-0.7499999999999996,0.2428571428571433,-0.9750000000000004,-0.2666666666666669,-0.1625000000000001,0.3142857142857137,-0.17142857142857132,-0.8124999999999996
Seattle,3.4444444444444446,4.5,4.144444444444445,3.700000000000001,4.022222222222221,2.7666666666666657,3.5777777777777766,4.322222222222223,3.311111111111111,4.844444444444445,4.177777777777779
Phoenix,4.9833333333333325,5.111111111111111,5.271428571428571,5.166666666666666,5.666666666666668,5.51111111111111,6.312500000000003,5.085714285714287,7.200000000000001,6.055555555555558,4.225
San Diego,7.333333333333332,6.666666666666668,6.9625,5.866666666666667,6.1111111111111125,4.4,6.2333333333333325,5.822222222222222,7.733333333333332,8.555555555555559,8.1875
St. Louis,2.2250000000000005,2.822222222222221,3.5285714285714285,4.633333333333334,3.612499999999999,-0.20000000000000007,1.4499999999999993,1.7285714285714282,0.8000000000000002,2.699999999999999,3.144444444444445
New Orleans,3.622222222222221,2.833333333333334,3.3222222222222224,0.9333333333333328,1.155555555555554,-1.333333333333332,1.2555555555555555,4.2222222222222205,4.27777777777778,4.55,2.7875
Dallas,1.6,1.5888888888888897,0.8777777777777777,1.4555555555555568,2.255555555555556,1.5333333333333317,1.9666666666666683,1.9888888888888896,1.8666666666666671,1.4222222222222225,1.8777777777777769
Tampa,0.3666666666666668,0.9444444444444448,0.6111111111111115,-0.06666666666666643,-0.2333333333333323,-1.4222222222222216,-0.3333333333333333,0.6222222222222228,0.3444444444444446,0.6888888888888888,1.3000000000000012
Philadelphia,6.411111111111111,7.8888888888888875,8.222222222222221,6.377777777777778,6.15,2.233333333333333,3.322222222222221,5.311111111111111,7.155555555555555,7.355555555555558,6.0555555555555545
Detroit,0.477777777777778,1.5444444444444445,0.9111111111111114,2.075,1.6750000000000005,-0.8111111111111112,0.9111111111111114,1.2375,-0.05555555555555517,1.6333333333333335,0.5333333333333333
San Francisco,2.1000000000000014,1.9777777777777776,-0.29999999999999954,-1.1777777777777771,-4.477777777777777,-7.288888888888887,-4.9444444444444455,-1.2222222222222214,1.7111111111111117,0.844444444444444,1.533333333333334
Denver,1.3714285714285714,1.8500000000000003,4.471428571428572,4.3125,-2.4571428571428564,-4.5857142857142845,2.042857142857143,3.088888888888889,0.9166666666666666,1.7428571428571435,0.2444444444444445
Houston,-0.09999999999999984,0.08888888888888857,1.0000000000000009,1.0999999999999994,0.5625,-2.355555555555556,-1.9000000000000008,-2.9,-0.6666666666666665,0.311111111111111,0.7444444444444448
Miami,0.4555555555555565,0.29999999999999993,-0.06666666666666682,0.9750000000000004,-1.055555555555556,0.1555555555555554,-0.07777777777777849,0.13333333333333325,0.3111111111111112,1.0555555555555562,1.1222222222222236
Atlanta,-4.416666666666667,-3.350000000000001,-3.3000000000000003,-3.4166666666666665,-4.860000000000001,-7.614285714285713,-4.916666666666667,-4.7,-5.2,-5.283333333333335,-3.7
Chicago,4.0,6.7444444444444445,6.2444444444444445,6.2444444444444445,7.375000000000001,0.6111111111111112,0.766666666666667,2.600000000000001,4.0,4.987499999999999,3.5000000000000004
