City,0,1,2,3,4,5,6,7,8,9,10
Mesa,25.2,24.622222222222234,24.633333333333336,24.9875,26.222222222222207,28.522222222222233,25.011111111111113,24.31111111111111,23.711111111111112,23.1125,22.142857142857146
Grand Prairie,23.277777777777786,23.855555555555558,23.81111111111111,24.41111111111111,24.177777777777766,25.57777777777777,23.711111111111112,23.26666666666667,22.288888888888888,21.53333333333333,20.54444444444444
Irvine,16.477777777777778,17.477777777777774,20.633333333333336,23.33333333333333,26.177777777777766,28.866666666666674,27.33333333333333,22.11111111111111,17.722222222222218,16.3,15.677777777777779
New Haven,12.488888888888884,12.777777777777775,12.466666666666667,13.522222222222226,16.61111111111111,19.26666666666668,15.011111111111116,11.666666666666664,10.722222222222225,9.322222222222221,8.888888888888891
Fort Lauderdale,23.76666666666667,23.333333333333336,23.511111111111113,23.955555555555573,24.4,26.07777777777777,24.777777777777786,24.18888888888889,22.83333333333334,22.38888888888889,22.100000000000005
Long Beach,16.37777777777778,17.844444444444445,18.28888888888889,18.466666666666672,19.83333333333333,21.94444444444445,19.9,18.422222222222224,16.244444444444444,15.011111111111116,15.255555555555556
Hartford,11.6,9.925,13.022222222222226,14.444444444444445,17.28888888888889,19.011111111111113,16.122222222222227,13.044444444444444,11.855555555555556,11.677777777777774,10.68888888888889
Providence,13.566666666666665,13.52222222222222,13.577777777777774,13.944444444444445,17.333333333333336,20.366666666666667,18.088888888888885,15.688888888888883,13.222222222222221,11.644444444444444,11.677777777777779
Birmingham,19.444444444444443,20.3375,21.177777777777774,21.8125,22.614285714285717,23.43333333333333,23.022222222222233,21.35555555555555,20.61111111111111,19.1,18.33333333333333
St. Petersburg,22.522222222222233,21.477777777777767,21.977777777777767,22.277777777777786,23.0,24.511111111111113,23.644444444444453,22.41111111111111,22.055555555555557,21.722222222222207,20.92222222222221
Virginia Beach,22.855555555555558,22.3,22.155555555555555,22.44444444444445,23.622222222222234,25.466666666666665,24.133333333333336,23.46666666666667,22.4,22.777777777777786,23.03333333333333
Oakland,14.888888888888884,14.433333333333335,17.51111111111111,19.944444444444443,21.466666666666665,25.18888888888889,22.222222222222232,20.777777777777786,15.855555555555556,12.344444444444445,13.6
West Palm Beach,22.075,21.93333333333333,22.45714285714286,22.1,23.25555555555556,24.855555555555558,23.622222222222234,22.655555555555555,22.1,21.788888888888888,21.7375
Louisville,17.111111111111118,17.17777777777778,18.655555555555555,19.022222222222226,19.61111111111111,21.62222222222222,20.144444444444442,17.375,16.812500000000004,13.577777777777778,12.955555555555556
Charlotte,19.322222222222226,19.4,19.088888888888885,20.200000000000006,20.988888888888887,22.33333333333333,19.066666666666666,18.088888888888885,17.966666666666672,16.6,16.299999999999994
Columbus,14.937499999999998,14.7125,14.224999999999998,15.425,16.233333333333334,19.98888888888889,17.655555555555555,14.2375,11.8875,12.8375,12.55
San Bernardino,11.233333333333334,10.688888888888886,9.933333333333332,8.266666666666667,9.255555555555556,13.033333333333333,11.322222222222221,10.5,10.177777777777779,9.333333333333334,9.144444444444442
St. Paul,11.722222222222221,11.499999999999998,12.855555555555556,15.233333333333334,17.833333333333332,20.566666666666666,16.722222222222218,12.344444444444445,8.71111111111111,7.588888888888887,8.511111111111113
Tucson,15.133333333333333,15.555555555555555,15.122222222222225,15.66666666666667,16.066666666666666,18.37777777777778,17.155555555555555,14.988888888888884,13.033333333333333,12.733333333333334,11.411111111111113
Fresno,19.311111111111114,19.74444444444445,22.322222222222226,23.644444444444453,24.67777777777778,26.5,24.95555555555556,22.777777777777786,19.944444444444443,17.766666666666666,17.833333333333332
Albuquerque,16.01111111111111,15.322222222222226,16.614285714285714,16.988888888888887,17.925,18.64444444444445,17.78888888888889,15.244444444444447,14.844444444444445,13.4,13.624999999999998
