City,0,1,2,3,4,5,6,7,8,9,10
Mesa,26.849999999999998,27.78333333333333,28.33333333333333,28.700000000000003,28.899999999999995,32.4,29.733333333333334,28.133333333333336,26.399999999999995,26.100000000000005,25.366666666666664
Grand Prairie,,,,,,,,,,,
Irvine,18.87777777777778,18.0625,17.84444444444445,17.844444444444445,18.944444444444443,20.255555555555553,20.744444444444444,19.644444444444442,19.366666666666667,19.744444444444447,19.999999999999996
Fort Lauderdale,24.51111111111111,24.688888888888886,25.555555555555554,24.5875,24.9875,26.0375,26.788888888888895,26.6,25.2,24.822222222222223,24.98888888888889
Long Beach,17.977777777777774,18.455555555555556,18.22222222222222,18.077777777777776,18.08888888888889,18.51111111111111,19.18888888888889,19.37777777777778,19.444444444444446,19.633333333333333,19.3
Hartford,20.244444444444444,20.72222222222222,21.255555555555556,20.677777777777777,22.766666666666666,24.18888888888889,22.15555555555556,20.433333333333337,18.522222222222222,18.95,17.900000000000002
Providence,15.64285714285714,17.857142857142858,18.328571428571426,18.814285714285717,20.200000000000003,22.542857142857144,22.142857142857146,20.8,19.2,18.885714285714283,18.1
Virginia Beach,22.562500000000004,22.487500000000004,22.575000000000003,22.9125,23.8875,23.825,21.8,20.062499999999996,19.9375,19.087499999999995,19.0125
Oakland,13.799999999999999,13.975000000000001,14.1,14.312499999999998,15.228571428571428,15.762500000000001,16.1875,14.8625,14.450000000000001,15.012500000000001,15.275
West Palm Beach,24.4,24.833333333333332,24.566666666666666,24.711111111111112,24.3875,24.811111111111114,23.950000000000003,23.8875,24.3875,24.33333333333333,23.91111111111111
Louisville,22.762500000000003,21.95,22.212499999999995,23.462500000000002,25.6375,24.5125,23.0625,20.975,21.037499999999998,22.150000000000002,20.9125
Columbus,17.099999999999998,19.32222222222222,19.566666666666666,19.614285714285717,22.28888888888889,22.799999999999997,21.677777777777777,21.233333333333334,19.444444444444443,19.214285714285715,18.0
San Bernardino,17.2125,17.6375,17.366666666666667,18.199999999999996,19.0,19.022222222222222,19.7,19.4,17.487499999999997,17.022222222222222,17.9
St. Paul,15.066666666666666,17.155555555555555,18.45555555555556,20.044444444444444,20.000000000000004,23.34444444444445,23.955555555555556,21.788888888888888,17.655555555555555,18.58888888888889,18.644444444444446
Tucson,21.325,22.237499999999997,22.6125,22.237500000000004,22.712500000000002,22.912499999999998,25.6125,24.45,24.275,23.8125,24.2375
Fresno,18.887499999999996,19.5,20.511111111111106,21.233333333333334,22.5625,24.077777777777776,24.9375,22.833333333333336,22.3,23.119999999999997,19.755555555555553
Albuquerque,20.055555555555557,20.314285714285713,21.3,19.011111111111113,20.7,21.91111111111111,19.542857142857144,20.485714285714288,19.744444444444447,19.5125,20.15
Kansas City,21.611111111111107,21.533333333333335,22.711111111111112,22.88888888888889,23.011111111111113,24.711111111111112,24.955555555555552,22.41111111111111,21.400000000000002,21.362500000000004,22.650000000000002
