City,0,1,2,3,4,5,6,7,8,9,10
Mesa,25.855555555555558,26.000000000000004,28.133333333333336,26.91111111111111,28.022222222222222,31.511111111111106,28.333333333333336,27.1,26.92222222222222,25.18888888888889,24.955555555555556
Grand Prairie,26.03333333333333,26.655555555555555,26.311111111111114,26.055555555555554,26.411111111111108,28.444444444444443,27.777777777777775,26.166666666666668,26.28888888888888,26.177777777777774,25.299999999999997
Irvine,18.900000000000002,19.45555555555556,20.144444444444442,22.177777777777777,24.51111111111111,27.52222222222222,26.16666666666667,21.96666666666667,19.877777777777776,18.822222222222223,17.41111111111111
Fort Lauderdale,23.511111111111113,23.633333333333336,23.37777777777778,23.533333333333335,24.51111111111111,26.299999999999997,25.17777777777778,24.555555555555557,24.211111111111116,23.86666666666667,23.37777777777778
Long Beach,18.34444444444445,18.822222222222226,20.011111111111113,21.288888888888888,22.96666666666667,25.455555555555556,24.22222222222223,22.53333333333333,21.433333333333334,21.12222222222222,19.866666666666664
Hartford,15.666666666666666,17.544444444444444,18.200000000000003,17.78888888888889,19.255555555555556,21.93333333333333,19.188888888888886,17.6,15.677777777777777,15.244444444444444,14.799999999999999
Providence,16.177777777777777,17.422222222222224,18.522222222222226,18.944444444444446,19.933333333333334,22.533333333333328,20.92222222222222,19.51111111111111,18.38888888888889,18.144444444444442,17.34444444444445
Virginia Beach,23.742857142857144,24.057142857142857,25.36666666666667,24.549999999999997,25.014285714285712,28.188888888888886,23.557142857142853,23.25,22.42,20.849999999999998,21.971428571428568
Oakland,13.0,14.144444444444442,15.011111111111111,17.9,22.355555555555554,26.688888888888883,23.966666666666665,20.755555555555556,17.41111111111111,16.544444444444444,17.46666666666667
West Palm Beach,23.4625,23.4375,23.462500000000002,23.022222222222226,24.000000000000004,25.322222222222223,23.68888888888889,23.37777777777778,23.433333333333334,23.275000000000002,22.72222222222222
Louisville,20.31111111111111,20.06666666666667,19.37777777777778,19.322222222222223,20.74444444444444,23.74444444444445,22.766666666666666,20.444444444444443,18.955555555555556,18.211111111111112,18.27777777777778
Columbus,16.288888888888888,17.6,18.333333333333332,18.133333333333333,19.633333333333336,22.599999999999994,20.3375,19.2625,19.98888888888889,16.966666666666665,16.92222222222222
San Bernardino,10.000000000000002,9.666666666666666,10.077777777777778,11.222222222222223,11.555555555555555,15.888888888888886,13.222222222222221,11.377777777777778,11.177777777777777,10.877777777777776,10.566666666666665
St. Paul,13.011111111111111,14.622222222222225,17.666666666666668,19.322222222222223,19.68888888888889,24.066666666666674,19.677777777777777,17.444444444444443,17.27777777777778,16.177777777777777,15.055555555555555
Tucson,14.999999999999998,14.8625,16.442857142857143,17.644444444444442,19.250000000000004,21.788888888888884,18.25714285714286,14.862500000000002,17.3625,16.5375,15.385714285714286
Fresno,22.3,23.877777777777776,24.38888888888889,25.922222222222224,27.455555555555556,29.85555555555556,27.275,25.200000000000003,24.150000000000002,23.0,20.950000000000003
