,City,Urban station,Urban Lat,Urban Lon,Urban brightness,Urban start,Urban end,Rural station,Rural Lat,Rural Lon,Rural brightness,Rural start,Rural end,Urban distance,Rural distance
55,New Orleans,USC00168941,29.91,-90.034,63.0,1997-09-01,2016-06-30,USR0000MHCK,30.615,-89.413,12.0,2002-12-01,2016-11-30,0.0852116298576,0.881750768768
56,Dallas,USW00013960,32.851,-96.855,63.0,1939-08-01,2016-12-31,USR0000TLBJ,33.172,-97.375,8.0,2000-01-01,2016-09-30,0.0344095352194,0.640385912145
58,Tampa,USC00087205,28.023,-82.142,63.0,1892-09-01 00:00:00,2016-10-31,USC00083153,27.57,-82.137,4.0,2001-08-01,2016-09-30,0.325617256054,0.495539978731
59,Philadelphia,USC00366886,39.957,-75.172,63.0,1994-03-01,2016-06-30,USC00361080,40.5,-75.204,14.0,1978-12-01,2016-11-30,0.0430198630475,0.501181718318
60,Detroit,USC00202015,42.319,-83.237,63.0,1952-08-01,2016-10-31,USC00206982,42.878,-82.795,12.0,2001-11-01,2017-01-31,0.157326443173,0.61774144394
61,San Francisco,USW00023272,37.77,-122.426,63.0,1921-01-01,2016-08-31,USR0000CSVA,37.562,-122.436,9.0,1998-10-01,2016-08-31,0.0453212881255,0.179615392317
62,Denver,USC00052223,39.729,-105.008,63.0,1997-11-01,2016-06-30,USC00057249,39.428,-105.07,8.0,1995-08-01,2016-08-31,0.0260581775802,0.322848649864
63,Houston,USW00012977,29.622,-95.656,63.0,2000-12-01,2016-10-31,USC00410586,29.914,-94.99,15.0,1946-06-01,2016-12-31,0.372911442953,0.362389735844
64,Miami,USC00083909,25.817,-80.285,63.0,1940-10-01,2016-12-31,USC00086406,25.86,-81.033,4.0,1978-06-01,2016-09-30,0.0676150903827,0.812126581616
65,Atlanta,USC00094700,33.531,-84.354,62.0,1994-09-01,2016-10-31,USC00094688,34.55,-84.25,5.0,2004-04-01,2016-11-30,0.302523764379,0.735435158769
66,Chicago,USC00111550,41.855,-87.609,63.0,2005-06-01,2016-10-31,USC00125174,41.264,-87.417,15.0,1963-07-01,2016-12-31,0.143254918411,0.656712296405
67,Los Angeles,USW00093134,34.051,-118.235,63.0,1906-04-01,2016-12-31,USR0000CCLE,34.271,-118.152,9.0,2002-11-01,2016-11-30,0.0821632481911,0.28241128227
68,"Washington, D.C.",USC00186350,38.913,-76.97,63.0,1948-08-01,2016-11-30,USC00185865,38.461,-76.699,10.0,1974-09-01,2016-12-31,0.0416502536319,0.537294382539
69,New York,USW00094728,40.778,-73.969,63.0,1876-01-01 00:00:00,2016-08-31,USC00281582,41.034,-74.423,25.0,1893-04-01 00:00:00,2017-01-31,0.0301088994337,0.526214684958
